url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/SPECIALWAREFARE/posts/405515733381811","1570984528","歷史上的今天，人類突破音障之壁 
今天是人類突破音之壁的72週年記念，1947年10月14日由美國空軍准將查克.葉格(Chuck
Yeager)駕駛X-1火箭機飛行，並達到1.06馬赫，成為第一位突破音障的飛行員(註)。葉格將軍在二戰期間累計有12.5架的擊落記錄，是雙料王牌飛行員，在軍中的服役生涯也飛過F-80、F-86、X-1、F-100、F-104等各式戰機與實驗機，但以X-1最為廣為人知以及以86歲高齡登上F-15的飛行記錄最為人津津樂道。
葉格將軍的服役生涯涵蓋二戰與冷戰等重大期間，飛過的機也從一戰的螺旋槳到世紀系列的噴射超音速戰機，他本人就是一部活著的美國空軍發展史，現年93
將軍正努力於推特與世界接軌與新自回應，不過老將軍惜話如金，也成為大夥公認的省話一哥。

 註：有人問「為什麼你不承認喬治威爾許(George Welch)比你更早突破音障?他的F-86戰機曾經在俯衝時超過音速。」結果老英雄僅簡單的說「那是騙人的。」

 https://www.ettoday.net/news/20171013/1031018.htm","1571538244","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ettoday.net%2Fnews%2F20171013%2F1031018.htm&h=AT20E0a6pKTsPjMGiVUL8MN16ziMcczMFq2viRePUqPLlIpeyswY6kU9hlm0a91qMahpXmY2yA4EnKDSCOjiCj18Q0jGJB1hagKqAoTkbQ-GpShTYCC499x9blKvE6uo8T5-pS9zDMMYvUWEDmKMHGLCJfcIEIEYrW86nhzVdqZudIrMW8ptqaRN-bsqKrbzeYBk2gBi0VMs1L8R4TTvRucz85P7u9rnAl9RL0SskewxJJ273g68P3XY-UKOqvruYvioVydnyzA-sxLyMf9LKNXQGpy4z6nQNew-1S3u3DfsrGhkK6m56WqrV7rciKr1mhsiJ4K0T9lim0qOo9BB5mePpQUEAxu-1_TQEi7N9U7ov6bGTscb3f_R2E9hL7q0_8FfUyE8fLLbJKiYuiXUpj4B0RTeDjOXeTl8cdBmtfsS69aZvBbFdnlJKiebpAFI5vp4sYjAHYBv0vFaRfacqx2k2P0nUSZ0XKnsPxQ80msd9IqhF8JB7TFpTL3cyMmx4NHxY_c4W9yfFD2BDvKokKu4Zq4pwkHld0IxPhX5YFy7rSaNx3yF86BO2EQ7zbFcWsoQXPmW7zD8N8PNnzJPHU39YakRCHxmhU5DiocdVWqZADdH8UBHkufw7eFRKgVVDg3aw-_PIvIC","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQCLF-Zjl8APmuGy&w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F2857%2Fd2857897.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBVBcYr1Bn2ehFH","▲▼人類史上首次突破音障！飛官查爾斯·艾伍德·「查克」·葉格(Charles Elwood ","人類邁入超音速領域70年...當年坐上有翅膀的子彈狂衝 | ETtoday新聞雲","今天正好是人類首次完成超音速飛行的70周年紀念日！1947年10月14日，美軍飛行員查爾斯·艾伍德·「查克」·葉格(Charles Elwood ""Chuck"" Yeager)駕駛著實驗機貝爾X-1(Bell X-1)在 1.37萬公尺天空中，飛到了1.06馬赫的高速，正式宣告突破音障..."
"https://www.facebook.com/SPECIALWAREFARE/posts/388347065098678","1568350335","歷史上的今天
來看看這一支刑事局直屬的特勤戰鬥小組作動態射擊訓練","1571538244","/onthisday/?source=shared_feed_story&__xts__%5B0%5D=68.ARAnFulrfDZyFeMipGDjrz5cEQ_xGYny1Ym36VbjpdHmnptqKg6ygZLebq_migwUO_16koLHxlW9_6pIYMjqEBMjUOjTAW0prQ1TEee7hoj8vdD_d7kTqiYma0BRCEwjwBzu-v-xuWq29n9ffcaB8xxekZKsPb_WXIyvQJB_za2y4N-WoBZH0iJxxr-Qy7ejH5mSu6uUDFBrD3lNUGjG3rspR-qktf_vqzD1hCDCOlVkuH-XFDL-KV2-2iaxb-_XSCNCwx-O1-etB5Nf0YUc6_30TJbem6t5eqbymhC9-MWDoqDGzQWq3Z2M1xtEzH_VkQzAJdikApUsfGfPcPAuP7v4gah9_Z8P2JIrlYa1snG_mH5vSn1SixkQZsHjD_U&__tn__=HH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-1/c0.12.32.32a/p32x32/541918_462642837113523_1196433556_n.jpg?_nc_cat=110&_nc_oc=AQl7ikHH99MUH_eEFFAxlByevz4eSI4HJyoLvw5eImhKdz9SBW7aewKucWzrew8Cx_nQtiK0ZkkhPPhYRhIFNIlH&_nc_ht=scontent-sin2-2.xx&oh=bc7d98327266747798afefc73c17b244&oe=5E2618BC","臺灣特勤聯誼園地","See Your Memorieschevron-right",""
"https://www.facebook.com/SPECIALWAREFARE/posts/370573496876035","1565223616","M92的原型槍，看起來較像歐風的紳士手槍，後來1984年的M92S後來得標旳M92F與M92FS，在外型上與原型槍有很多變化。
其實我一直認為M92有P38的影子，黑槍身與木色握把，滑套上半截全空裸露槍管設計、結構幾乎相同的上槍身固定銷與位於彈匣底部的退匣鈕設計，只是我問過BERETTA的M92設計師(真的不是一個小組設計的，改良是有一個小組，但槍的設計師就是一個人)，也翻了WEATHER的廠史，問了多玩槍的老屁股與收藏家們，有卜心一一,
人與我看法接近，但沒有人能提出相關証據.......","1571538244","/BERETTAofficial/photos/a.108142540681/10152566145130682/?type=3&eid=ARAQyWkWCbxi97Gi_VkboKSPuv_jAvKCPRT1GpFw8Bu273bUvPQP3hgXqtzUdABwWR7R-_7MlVM33Mfu&__xts__%5B0%5D=68.ARArDujPsTbmv-dEN7TdGEKVazuooY-2MR7BAtCPRleVSRS_0wz5cg-TWEI8I6vnlixTeHrOzZXWU_eNkguJ87-mYvZhfV5rSDQb6mAK5hEbWg2icrDi7JPCJfmRc5eiu_sfOuS7VAiHIlfBZ1EVaZY0_ehpVTsv_zWy8Mgv3cCD50Ofiplln82F2wIezQ9POhUBsH-NYd8Gk_t7aPjfxZY5dJJ0QLbZ34MDN3_itPe9QuNh8fgI95XNn_gmAJ56UAAco7ION1N2JahEG-UvHKliAXvhUhXO7333Hw9aucmEHDTbYydi1fOxdjuLbWidDQ3g74yEscm_Eujmy_x2mWDd0GpfAQrM17tNc-sFEvCreUR4sc9dxahiyBX2DPjwpKGYsmhzh2tprB-nqnZ3_ZsWysvLiOzyHv8c7PedquWLPg5b5d_j2lp2pt1YeP14zG2nKi8hJUWcOA2bGFipobXrBJzbVfyCfAjJu4gKG9WaYZUoiMs&__tn__=EEHH-R","https://scontent.fpnh6-1.fna.fbcdn.net/v/t1.0-0/p526x296/10502016_10152566145130682_9217100481688931286_n.jpg?_nc_cat=111&_nc_oc=AQm56GNTk6FFV5Wk-x_hdzdu5mIKdNsUYewQe7Quqk645m9g1s-eeJBqdxg0FIUE0fY&_nc_ht=scontent.fpnh6-1.fna&oh=4250332152a9c5e19d33105a4f19bede&oe=5E2DF025","undefined","BERETTA",""
"https://www.facebook.com/SPECIALWAREFARE/posts/404896713443713","1570896608","歷史上的今天，一樣是2018年前的
老共的武器名原則四

 
這把完全用玻璃封住的手拉槍栓式狙擊槍，配備雙腳架與一組頗巨大的狙擊鏡，一旁的告示牌僅簡單寫著CS/LR4型7.62毫米高精度狙擊步槍，事實上，這把槍可是大大的有名，是曾在國際競賽中取得優秀名次的狙擊槍。

 
這把槍一樣是由中國人民解放軍208研究所設計，由重慶市中國南方工業集團旗下的建設工業集團總公司生產的槍枝，但卻不是為了解放軍或武警的需求，而是為了從事國際間的軍事活動與競賽交流而產製的高精度狙擊槍，計劃啟動於2008年6
月，同時啟動的還包括高精度7.62X51mm規格的NATO彈藥(後成為CS/DFL
3高精度專用狙擊彈)、CS/OS-15型8～32倍率日間用光學瞄準鏡(此為軍規配備，公安/武警/特警用則改配CS/OS-17白光瞄準鏡)、微光增強儀、CS/OB-1激光測距/彈道解算計算機、清潔維修工具、備用彈匣等夯不鎯噹全套狙擊裝備，研發成功後計算開發成本，整組槍(含前述所有配備，不含彈)高達二十六萬人民幣(2010幣值計)。

 為了與國際接軌與交流，本槍的許多設計皆與解放軍用規格不同，除了彈藥使用7.62X51mm
NATO軍規彈或不是解放軍慣用的7.62x54mm俄羅斯規格彈，且為配合不同規格的日間狙擊鏡與夜視系統，槍枝上方加裝兩道MIL-STD-1913戰術滑軌，五發直排裝彈匣、一體成型的強化塑料槍身(含下槍身基座與槍托)、可調式貼腮片與槍托底板，與前裝雙腳架。在2010年的北京警用裝備展上是以迷彩裝的樣式與世人首次見面，而在隔年的2011年的北京警用裝備展則以全黑的造型亮相，當時只以JS狙擊步槍名稱展示，直到該年6月才被正式定名為外貿用型號「CS/LR4狙擊槍」，並於2012年參加哈薩克主辦的AY-2012狙擊比賽取得優秀的比賽成積，但有點令人難堪的是，這個成積是使用主辦方統一提供的芬蘭製高精密競賽用彈而來，而中國製的CS/DFL
3高精度專用狙擊彈是打不出這樣成積的。

 
事實上，這僅是此槍所發現的諸多問題之一，在此之前，中國並無設計與製造高精密狙擊彈與高精密槍拴式狙擊槍的搭配經驗，一切從零開始的摸著石頭過河，除了槍管與子彈的組態配置不夠理想之外，彈匣沒有設計防呆措施，反插亦可插入到上膛位置，射手一旦不察，推動槍拴直接進彈，則對槍膛與槍機都會造成直接的損傷，另外槍機的推拉不夠流暢，彈匣容量過小、槍身量量過重等問題也都一一被找出。但以初試啼聲的作品而言，仍是一把不錯的精密狙擊槍。","1571538244","/SPECIALWAREFARE/photos/pcb.404896713443713/404896666777051/?type=3&__tn__=HH-R&eid=ARCDeQ9R4hlvYnSGWArxDbflt-VFBpuJycPojCer42rG8OQ4D7rvADaPOHt3eakQg8Ru65Sta9I4VaNb&__xts__%5B0%5D=68.ARCZ5LtTI_BBiUXmk8mWmT0RJ_dlAKdkgB0eqPSBhEzC6HlWVl7gvqxIkTChYExG-o5pf935O4r-ceT3TaZyTHjmRkTzZZzrufexDD9GVNi9SGkYuSJoxxzn6blw6nMWlvLzk4k1WrFRK1jg_m5usM3l00pW1wloP0DFHZIh6KaRQedMyKImi7g5iRQa-YhkAvLhzPtx9uZRBzrQuR_DNV4md6rw0jeZSrr4Rbbvee01pRs0LfnFI3R_dOqWX1N-VED10D6JESpaLiSu6aK3jp1TQCgCvOqKI8Hea_PXJqJctiA2Vokk0Ndk0tt7gORIIFea8JS3UPvnyotGJvFGflM","https://scontent.fbkk5-1.fna.fbcdn.net/v/t1.0-0/p235x350/72129267_404896670110384_8948418126169505792_n.jpg?_nc_cat=109&_nc_oc=AQn6Ph7lzu7OfguhePsXgRKl8xaIqPFaatQ_exKrQx75WY9RZHHbkUjwPKd41ekk1cI&_nc_ht=scontent.fbkk5-1.fna&oh=c07ff875267a43c27a45358f403b76bc&oe=5E264C45","undefined","",""
"https://www.facebook.com/SPECIALWAREFARE/posts/405509796715738","1570983809","常有女生或沒打過槍的人問我XX槍的後座力會不會很強，槍聲會不會很大云云，其實坦白說，大部份標準制式彈藥的槍枝對我來講後座力都不強，而且很多時候我打靶(步槍/突擊步槍)根本沒注意到槍聲，反而比較注意槍枝射擊時的復進簧與槍枝運作聲音有沒有異常(退殼，進彈與槍機是否有怪聲，畢竟的打靶有一大半是在作槍枝測試與試新槍，天知道會出什麼狀況)要講後座力的話，我記憶中三把槍後座力讓我印象深刻，第一把是12GAGE的SPAS-12半自動戰鬥散彈槍，沒有任何制退與復進機制，直接制退上膛的後座力比五七步槍與FAL都要來得大，加上粗大的幫浦握把，真讓我的甜不辣手強要抓不住，第二把是第一代的G17標準型，因為號稱塑膠手槍的他上節套是全金屬，但下節套則是複合材料，上下不對稱的質量與習慣全金屬手槍質心的我，第一次打G17時真心的認為後座力強到靠北，比習慣的45手槍還大，但打過幾發就可以很快的抓到要訣，G系手槍都是很好打很快上手的槍，但要打出好成積，則仍需要天量的子彈來餵養與射手的天份加努力，第三把槍則是頂大名的沙漠之鷹，我打的還是小口徑的357麥格農，而不是44或50AE，但也讓我嚇到該該叫了，槍枝滑套全開時從槍口到滑套尾幾乎等於我的前臂長，一發子彈就有我的食指大小，裝藥量是9公厘彈的七倍，警用特制點三八的三倍多(警用特制點三八其實打的也是麥格農彈)，這個後座力真的大了，大到槍口上揚的程度可以到90度指向天際，而且子彈長握把就跟著長大，不用雙手是無法握持與射擊的，不過這是個人的觀點，作不得準。
若以影片中的女射手來講，雖然槍托很穩定，沒什麼上揚，但若你問他後座力，她一定回答有感。","1571538244","/watch/?ref=external&v=320682765177141&__xts__%5B0%5D=68.ARBUvPe7rgm34KX-1vPr74Y7Od9s6n6tD970-tXKtKOGeAvtq2qDNO81fUY9x4jUytgLP_wf0RS2FFfQLwMKAFIRqBTpmFp74y3eihsVXvguRyEZ8FsWQ3pCodi5gKy_pnOZdjcA1n9L7lbjUFskqorUTZPY3qyHyqQR_1ew4BaUsiTjL5gycnI4wGQTWHxInvPN7uReVsrUDBwZpUVE5fbgWU4SBurSOwOSM7IEcNmsTQxblZ5bvpzAtNWM6QdkU-LVh4XUtw3kVGg5ltmbhSTOoXWxs7AAi0o89bT_XphDW55X-FSJoscmZMRQbonwkzU-bpZVyVzF43Sps7eoxUxUu1MASX5TsMywpJ_W4EMMqVzSAl2eiFnR5dmhZtC25GQqTrzeSfyZdDIC54Hb2IKo4Vt2GPlxhZbCtmGBvQJXXDi1MsFwXaf8Z2djqlWMZKVQKxP35xpk8XzF9frzmRV4K_EAzix_TPzGxXNviNVD5gI1lzXqyqt8aiKhrI2pdg&__tn__=kFFHHH-R","https://scontent.fbkk10-1.fna.fbcdn.net/v/t15.5256-10/43272404_320682998510451_3518413509253660672_n.jpg?_nc_cat=103&_nc_oc=AQmGLFPDG-iwRnkIHQCipmHtJVpbPCtW-8N2wXF6zvZGyH9T-gnQ3trIizw-0s9x0Ys&_nc_ht=scontent.fbkk10-1.fna&oh=955b5d4bc3d9c3af7133b9ff89efb74a&oe=5E31B749","undefined","開槍的後座力有多強呢!!!!!!","โพสต์โดย 真妹紙新聞²"
"https://www.facebook.com/SPECIALWAREFARE/posts/407216879878363","1571237880","作連續桶滾的直昇機，那個主旋翼與主軸真 嚴肅，剛直，勇敢，
堅強，可以承受這麼大的連續應力效應而不發生問題，然後還可以提供足夠的升力與動力，來做這樣子的高難度特技飛行動作","1571538245","/watch/thehelicopterpage/?__xts__%5B0%5D=68.ARBbm3WqNkqOERu5oVMxQXnzMQYNx0vaOp1y2YMHC6QmJ4vK0MNwi8y1bn6jTOOegjq03BbQ5HFDTb4W7F_f1ks27zHXSzZbzixtu7nI8GVYg_txMux78Pz73FSpW8WYU-SS3nrsjRk8xJgPHVJsZprCiqW2fwJzkVsLYeit87zYNRWoLdEc992yLaKvFjwvU_Y3q4s7wYqG1SuP_9j87P5dhcyqyIgqmuOGgr5nfaIgHhDEpLt4324iiFq_k7iMEqOSZ7kRzOd8CBU2AlifjtYQrrCrpr5H1Zln5zto_K-U0csVLNebh-aPFrHj6QoUgasDlQgUPDFZbfUdKCLXCSP_aTDlOZX1y5tcFd1hiuNvsOaXxv4JSJN0_W8f9XxPI2b4ZMcTpoxcW7g0WASjrUOo5r4m_kMCbjd6M8OuWEAE-92PZgtfDExWaPzna931B40Eu2dUxia5OdmPfQ66o2zamwjsSjP6SSdS_tBxdmxt5RPSddr0ZTRcnfLCU-g7sw&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/71175044_788323358269073_1406612995009675264_n.jpg?_nc_cat=107&_nc_oc=AQnF_WbsSgbIEtUgjq5dHOdnXz1FNESYkM0_KFvxwgF8KBXI2LmpsUlpcVjw3n6PpSI&_nc_ht=scontent-sin2-2.xx&oh=fe764102152bf1d798de021bdae919b9&oe=5E1F3F86","undefined","The Helicopter Page","338,445 Views"
"https://www.facebook.com/SPECIALWAREFARE/posts/400340020566049","1570207332","二戰主力戰艦的代表艦，由左至右，德國俾斯麥號、美國愛阿華號，日本大和號，唯一存活至今的是中間的愛阿華號，其實左右兩艦即使沒在戰爭中被擊沉，戰後大概也會被拆解成廢鐵處理，而航空母艦的出現更是光芒掩蓋了主力戰鬥艦的榮耀，也許在風華絕代的風光時刻光榮戰死，留下無限身影供人懷念也是一種方式(大和)，總比委曲的停泊在港內被人當靶的炸沉來得壯烈(俾斯麥的姐妹艦鐵必制號)，或者像老兵不死的多次封存再復役，以當世唯一主力艦的16吋主砲岸轟到不要不要的(愛阿華)，同樣的主力艦，不同的結局，白雲蒼狗，世間蒼茫啊。","1571538245","/GermanKriegsmarine/photos/a.917908904936928/1525556354172177/?type=3&eid=ARBTFmymXhfa6x66RqWf-qyasmHbECnmEDywTKP7F2ECdk--ZW8hrfP-JyqOoNWk65nXPHdlauVM9KDa&__xts__%5B0%5D=68.ARA5IAo9lfy3MnV7ze9HtE1neFWnrEdtfzOTOmeuAc2tYXWGDIMcRyhU1EHWIjIk5Gibmxb9Z2BipgKdl6frAD_ZdPKHVaRGHiGWnrX6ou2pzsDaVMGiW_lgN8bQ2-Fld5NL39tTjItjz0rxrrPW3m0dHRWy29vnEFxP15zdUZkhww4svYaZhZBIaLaqocU7lg76QJkw64hczmu_iQ6RbCYBRgDM1LRrvHZoy3u8fHm0-n5vfPi-7P7E4qtI1SRsoLPQhESXTrImnBoYYKrdDjKIDGkMMP8uD-u1Rv6UViC9qJ4Nlm4CAUTdRyv4f8oQ5ySkxGBUPVmlo-Q82H-s9rIyRDnVTvh1Cp_D4VDPV5B8CT9Dz-tvxR267EkpkyZKJpCVAhB5TE8GAI3f2H15R38LTBTDkn2sdRqI6Xvvcjw3EqnsAyWRHtivRCM_fWKDTx60U2RGJuiUk8HZGL1jllRI9XhgXyaeDYZcbbFJOEbahKwABZVH2Q&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/s640x640/22154635_1525556354172177_7722579815875944147_n.jpg?_nc_cat=103&_nc_oc=AQmoMmyDJOb1PI98YQgciv4J7Nihtk12apHE9rZhlN3FGG4IAyatwelEVOEk7YjYQ_E&_nc_ht=scontent-sin2-1.xx&oh=63452402203a42f9aafb1a7a1db34a17&oe=5E5C4E1B","undefined","Die Deutsche Kriegsmarine",""
"https://www.facebook.com/SPECIALWAREFARE/posts/402413447025373","1570523034","歷史上的今天
當年以可愛與賣萌的警犬隊。","1571538245","/onthisday/?source=shared_feed_story&__xts__%5B0%5D=68.ARAJd1FZDx28MeFnOtwgLX7p8_6kgwPI5ohLMTO7dVTKu5G-QafrKnsmsiWF91LgeSz12isbPzivbQp6Ukd4OOPqM6PbpO_BIL4MxKDQfwTaP4NqRCEQU7iFikfFBqgt1SozXjW5JWsxp7HemVCizcKEPwzfMlhEUZ7dna6S26ij8bxQDSFgtwg9fF8rlFkaUEd7V4T-a6p_kJkAk2QJbArDciX7hMdJjR06xpMtxasD1conN0dButyRrPPnlXSv6Ztz5SJCFPH0sPFsUz7apYPvE7v-aZkL5y4WBkN1F1MpB5qprjn9jPv24Na3fTqXT4HDEmF3nQvvEWcMM_K4LBPTFFyOQVYxX4wZgbOmp8doLx5Eq7h0UOpQt4xDBbQ&__tn__=HH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-1/p32x32/58749376_2122015397836110_5206524450459090944_n.png?_nc_cat=111&_nc_oc=AQm_Nm_VsmIzshXllGBxgU12IvxlU6fKfPCLH6a2AqPIEQQrym3WdXkuhehexwgrTrw&_nc_ht=scontent.fbkk7-2.fna&oh=9587cb7e8023762cc6163023f14da53c&oe=5E21731C","NPA 署長室","ดูความทรงจำของคุณchevron-right",""
"https://www.facebook.com/SPECIALWAREFARE/posts/408449756421742","1571400474","其實這件事情我也做過。
那是在馬英九還沒上任的那一年，那時候在南部當職業潛水夫，去外海工作的時候，我們開的是動力舢板，就是把很多PVC水管綁在一起，後面加一個馬達的那種，然後那一天我就很手賤的開回來，其他老鳥就在那邊放空，裝死，然後在接近港邊的時候，我也想來這招，但是不知道為什麼，我忘記了舢板船頭是方形的
，然後我們掛的那個舷外馬達並沒有想像中的那麼方便
，就這樣子直直的把那停在岸邊的另外一艘小快艇撞了一下，當然小快艇是FRP玻璃纖維的，比PVC水管脆弱很多，然後過了不到兩個禮拜，我就看到港邊那艘小快艇的直直的沉在水底了，，，，","1571538245","/watch/?ref=external&v=2466328310357746&__xts__%5B0%5D=68.ARDcbgiuNv7x6aUn7bGKtLYpKYvDm4e0NAKZN-FIFGw_8VA4bUBFpJ2O-F6dUBiCORM1rjX1Ok4Y94mKB-StPUfa6Ftvy4i2698qTZJ6rb0GGOMHdLAdlVJwE3eTdO0lQYUCCqRhO2vuY7lwjamditn9fBojMuO97wZV8ceuSowVjz9gtcv0VaL6SY5wqVDVo_j3yXzoBIvMrtWg_z6zg1r5jz4Tz1EnKWJGluec9R71iWID8wXqyl4ApdOQgzaGH0pyc8I4u_DOPw_DiuL0AOn3D9dzhQxR76jTch3b3pcecEHdnLbpo6hFjZZV9zVmh_g5hlOq8yuZ-ccNia98wYweixlljuggwNnwX8Lmm6TokaTnGfLveHdOJOSdZ6Hej0H6MkGdfbQrKwbxZzusXvBgq27WPU5Q3sFf-YI8X5E0uSsVYchDv-FwCsTEquKEuqxBDVcZjkHjIlulhYTUzxxkaCKZwTPi4E9u44PajjQo7Ev_SLj8GMjWLTA5KSX8Ww&__tn__=kFFHHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t15.5256-10/69185354_2466328510357726_2689429583551266816_n.jpg?_nc_cat=1&_nc_oc=AQnXfF_5sbFK4uwYJlacQ7cEjYD3e_Jt1iy3kyme_3irkChnaR-y6EvxJEr2z-QqHbA&_nc_ht=scontent-nrt1-1.xx&oh=597aefafd89e089bebb8a7b0d7e92aea&oe=5E5E8A20","undefined","gas dock","Posted by Blackbeard Marine"
"https://www.facebook.com/SPECIALWAREFARE/posts/390059994927385","1568615725","這是一篇打臉文！
前幾天我才講賓拉登的911行動，可能是人類史與突擊作戰史上收益最大的不對稱作戰結果，但也還是花了十幾條人命與百萬美元事前投資所造成的戰果，而這次就更厲害了，單就經濟效益而言也是幾百億美金起跳的戰果，但重點是只花了10台無人機，沒有半條人命就達成的戰果，就投資效益比而言比賓拉登的911還要大，看來我的分析再一次的出槌，也再次的證明人類的想像力是個無限的，或者說這麼不要臉的作戰方式可以得到卓越戰績，以後防守方日子更難過了，
而無差別與重大價值目標的日常防守會更難處理了。","1571538245","https://l.facebook.com/l.php?u=https%3A%2F%2Ftoday.line.me%2Ftw%2Fpc%2Farticle%2F%25E8%2591%2589%25E9%2596%2580%25E6%2594%25BB%25E6%2593%258A%25E6%25B2%2599%25E5%259C%258B%25E7%2585%2589%25E6%25B2%25B9%25E5%25BB%25A0%2B%25E5%259C%258B%25E9%259A%259B%25E6%25B2%25B9%25E5%2583%25B9%25E6%2581%2590%25E5%258F%2597%25E8%25A1%259D%25E6%2593%258A-pqawX7&h=AT1xMxxT348IkGgptf6H4nB488JvKUIA0S1U6uqppEqf81yHUTdjgnRMHLPe5udoknM0_8NftTeWcEpM1SyUM5bIN9vrfwYDSatbvDSNuCQ5oAh4ythnK_MbJSrFhcRGMyNcgFmiqmYvu_yNalcxlxsNIeC2dpbpfbJFOohMzBtswsFKKyU9IJyisfCyJIg9Yb8x71rCLALC_NRFwaYbC_t98RDkCrjZoaP6oioyq6IJvIHlTibL1K-Y0Bf4HDco5KhtUTGwRYi0T1nTF03M3d9G5DC4mnR17Bpti662icEvf4TtesRMyToi7KDB2epi9CliraAHLlShixnFR5v9dO8PCz1RGYDeRPM9QmvHPxOktpRykbeHk_O0tKOOOZgEPPQSL0MxYSx0wOkR-9sI0o2J7eg6IAwpVbn1Nq9ekkcfFDTyaLg3i48CGvG4LW3KAFYwEZsMXo-l8h243zP-C_a2y9FqR-4jkyKzmic9Co6K-x6LlnO7JcHzrmoT764JmdmXqn_G1sAivRXkVJSIlpwMWDss8nlWgczcquQkidAVi60TemyDyVBQZN_Bc31SWUNnwNQcvngMw89vGRdafDOSiwEhjb1rc53aiNEopb5S7aic6iIH6wBxvwu7duUw0iZhXY_5xSss","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQB1k4Tk-NSe5Raf&w=540&h=282&url=https%3A%2F%2Fobs.line-scdn.net%2F0hbtcU8NAWPVteLBZDWIRCDGR6PjRtQC5YOhpsWB1CY28mGi0MMR0lNX0vYTl0THoFN0tyNXosJmojTykPYR4l%2Fw580&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCQNXfbUYqt7Td5","Trong hình ảnh có thể có: ngoài trời","中國廣播公司 | 葉門攻擊沙國煉油廠 國際油價恐受衝擊","沙烏地阿拉伯兩處主要煉油中心，遭到葉門反抗軍以無人機攻擊，迫使沙國必須減少石油產量。初步估計，這次襲擊行動，至少讓沙國減少一半的石油生產量，也可能會影響全球至少百分之五的石油供應；除了油價可能會因此飆..."
