url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/denkakeke.0404/posts/3170316683042081","1566994206","想不到吧！","1571594117","https://l.facebook.com/l.php?u=https%3A%2F%2Fm.twitch.tv%2Fsonettaiwan&h=AT3RoqNC03h1CAQ2MTp5MJjGpyI3nUI2lkHJtRNZE-5Ln5pFo-X9mkZOY4pssrFTZbfpjJYtgcmLHsh1Lpju3cALqCMhw4if6u94_GchtAYTC5yTqn1z3IgLojcyZBrwOJ9uSF3Tkf8JKtBzQgPVBNg1K3AFyLX2DEK8NRHFZ0j4JwDaHWJ8bmEsA6zTIM98YgwMjlgWCCwGe4w7wKir6BmcJfoIE6uv6Xr1KbcxGRYsNftwW8DKz5MpYvSFjV5nGqD6n37G0yNpr6fUb20VMC6Brd9xzi-By3WZ8GPta1vKxfuSme7FZ0UNZkDONgydxFdH4fxF0psQcHJ8JT3E313CO6vPQjtOFgojoBx_eana4TmFIqgdJLREKJ0l5U4vxtT2S7zJJYw7QK8Iga7lNPH8EQpjzYMiR5q-SG3pgHxagSiIUfE5eRuamM0faz0aukqVZSoSzIxo-N-2rnnBn6Rci4BB_UGE0qpD1dfL_4o65Us91Sl1jHijpZglQaCo0yT_2S19IKce-I6fBncd8OMNvs_D7k4Bzm6ZOq1xYWei8mDD5wcbvzvlL9GKT00_iCulFNmJZS_k8XkPs7CD5ZyCOXqDPjtS1g9tNxAQWsdjRGtUEHfm1Mb6h602pE3vAcZzLrbjJwvrFLy6","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQAoySGS-H1c1F-k&w=160&h=160&url=https%3A%2F%2Fstatic-cdn.jtvnw.net%2Fjtv_user_pictures%2Fsonettaiwan-profile_image-3474f76ca95c960e-300x300.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQByh-O1qRSEsUmD","SonetTaiwan","SonetTaiwan - Twitch","So-net Entertainment Taiwan｜"
"https://www.facebook.com/denkakeke.0404/posts/3313384388735309","1571133628","和服影片484還沒有看r
快去吧>>https://shhhh.pros.is/K93YH

 江戶和裝工房 雅 Kimono Miyabi

這次一起去的藝人：
泳裝大魔王
DEMI 惡兔子
蒼太Tai
一支靡 • Izumi","1571594118","/denkakeke.0404/photos/pcb.3313384388735309/3313383738735374/?type=3&__tn__=HH-R&eid=ARC0gtQqbObjyoKIEL2-JuKWLIGABgu9gq5uCCnUDcGgZxhN8Jv-0A9H6uXq98nzRZCuIjyB--PXBR8S&__xts__%5B0%5D=68.ARAGlXK3uoxTpnh-RwQwXzPCvzGZ05hMPcifiazS9FeqE_VSMIlpjBkVlpGvoextQh586a9JdzGUIL7KKc9H9iRprjUCJPBZIaZnlqiYRy378W7NnzlPg6DGVFqVFaBdB21ox49_SKe8RsiAIiC5giVUnO0mGZaaimE-jyKFILbjp-3z42H7KRz7b1r6WuhOV_idIra6BPpCu5zOTZ85oVG9gxa5L6jyp5YzAC3J80XvavIT4tH2HUqkqBVM8U8xd2Nz9YQvVImrwZeM-ZVxktyjtk4b5D7ZJ-IGtwLWOCvKhsiIb_wNNhNhoSJ17YsojJSewHiUt-pb162Unm0Sdc7UZA","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s600x600/72445697_3313383742068707_3667179824788537344_n.jpg?_nc_cat=104&_nc_oc=AQkJIV80wYOHZs2QK9TX157mBs0ikGetsCsZ8hBcoXdPVlv1D_tJMuE7k3K83A5-2tg&_nc_ht=scontent-hkg3-1.xx&oh=b7487edec90b18b4d2f0cf07b43960a8&oe=5E1E4E89","undefined","8",""
"https://www.facebook.com/denkakeke.0404/posts/3299883246752090:0","1570758311","joker觀後感

看這一部的時候，我心中一直有兩部作品的影子在，""taxi driver""和""地下室手記""。

都是透過世界上的nobody，這些平凡到不行的小人物自身矛盾和負面情感以及掙扎，去碰撞這個世界。以渺小的自己去看這宏大的世界。
透過自己的自省和努力，去找到自己存在的意義。

靠北這不就是我這輩子讀都讀不完的存在主義哲學嗎？？？？？？？(哭

 以下有雷


 =====
The worst part of having a mental illness is people expect you to behave as if
you don't..
精神疾病中最痛苦的一件事就是，人們總是希望你們假裝沒有病。

 在新加坡我從旁幫忙老師輔導過一位學生，她總是看起來開朗、好像傻呼呼的什麼事情都沒有，但是手腕上的各種傷痕告訴我們她不是沒事，她需要幫忙。

『我痛恨假裝正常，但是我如果告訴別人我很痛苦，沒有人會再願意陪伴我，沒有人會懂。』她這麼說著。『我知道我不正常，但是如果讓大家知道我不正常了，我好像就真的不正常了。』

這是社會中很可怕的一件事情，我們把大部分的人事物叫做正常，其他的事情、不能了解的事情，全部統稱不正常。
我們抱持著恐懼，我們因為不了解，因為無知而選擇拒絕接受。
精神疾病又比生理疾病來的更複雜難懂，它就像是一個沒有解藥的病毒，人們不知道這種疾病能不能被根治，有沒有藥醫，能不能完全好起來。又怕精神上的疾病影響到自己的精神狀況，而事實上也真的的確會影響。
精神疾病它就像是另一種愛滋一樣，沒有解藥，又會影響到自身以外的其他人，所以人人避之而唯恐不及。
但卻沒有人知道，在這個瘋狂的世界哩，每個人其實都得病了，只是每個人的嚴重程度不一樣而已。


主角無法控制的大笑，在疾病上稱為《假性延髓情绪》(Pseudobulbar affect,
縮寫PBA)，患者會無法控制的笑或哭，發出一些無法言喻的聲音，有時嚴重會伴隨乾嘔和暈眩。

 I hope my death makes more cents than my life．
我希望我的死比我的生命更有價值。
￼
在固定的心理治療中，主角拿出的筆記本中，粗體字寫上了這句話。

 他想走，他想死，就像邱妙津走前說的，『生有何歡，死又何懼。』他還在掙扎著。


他逼迫自己去笑，去帶給人們歡樂，他做每件事情都不斷地反覆著重複著練習，他不祈求奇蹟，只希望自己能在自己的舞台上好好的表現。
他在心中不斷幻想著美好的景象，並且賦予自身這些情節下自己的任務，該怎麼回話，該怎麼出場，然後在心中，總是一個完美的ｈａｐｐｙ ｅｎｄｉｎｇ。

 但為何總是，世界卻如此的造化弄人，現實總是和自己想像的背道而馳。
他努力了呀，他並沒有放棄，他心中還是良善的他，只是為什麼，這個世界卻沒有自己的容身之處。


Is it just me, or is it getting crazier out there?
到底是我的問題，還是這個世界變得更加瘋狂？


在他試圖和母親口中的父親相認的時候，
那位有錢的老爸問了他想要什麼，是不是想要錢？

 我以為主角會大叫說想要有一樣的待遇，想要和母親能好好被對待時，他卻喊出了：
I don’t want anything from you. Maybe a little warmth, maybe a hug, dad, maybe a
bit of common decency!
我並沒有想從你身上得到什麼好處，要的可能只是一點溫暖？一個擁抱？一點點體貼諒解？


他想要愛，他想要被認可，想要被接受。
這個世界拒他於千里之外，他想要的只是這個『有影響力的』父親能夠給予一點點的關懷，他想要試圖透過這個有影響力的父親，給自己和世界一點接軌。

但這個期待得到的只是得到一個重重的拳頭。



 他與母親共同喜愛的主持人，他們以為這個主持人很好，他假裝不知道對方邀請自己是為了嘲笑自己。
他假裝自己是joker不是clown，假裝自己是說笑話的人，不是笑話本身。

但他發現沒辦法，自己如此努力地想好好表現，如此努力地想好好做一件對的事情，怎麼會就這麼難呢？

所有美好的事物都只會在幻想中出現，現實中沒有自己的容身之地，他找不到歸屬感。
甚至也無法知道自己的母親到底真的是瘋了還是真的。
看到自己母親以前虐待自己的病歷之後，他更無法諒解這個世界了。
最後一根稻草，就這樣倒了。


在他慢慢地從車上站起來，背對人群時，他得到了他想要的關注和掌聲，就和幻想的一樣，這個世界突然之間，他知道如何生存了。
手摸著從鼻子流出來的血，他緩慢地用血塗成了大大的微笑，就連最後的最後，他還是貫徹了＂put on a happy face＂的這句話，逼迫著自己帶給大家笑容。

仍然在逼迫自己啊！
怎麼會這麼讓人心疼。￼￼￼





最後一段
主角在一個白色的房間接受輔導員的心理評估的時候，他的病症又發作了（或是單純只是笑著），輔導員問他有什麼這麼好笑？
他表示自己想到了一個笑話，輔導員問他介意分享一下嗎？
「You wouldn’t get it.」他對著輔導員說你不會了解的。

然後邊走邊跳舞出去的血腳印中，背景就響起了That’s Life的旋律。

 這是意指人生就是如此可笑，還是呼應他前面說的『我的人生原來是一場喜劇』的說法，想表示這個人生本身就是一場笑話呢？

 在他成為真正的joker的路上，我對於這個版本的主角是否真的能成魔變成大家熟悉的joker感到懷疑。
對我來說，他的所有負面想法都出自於良善。
這些負面的想法和做法，出自於他心中那被踐踏的良善。
只要有一個人，有一個人真正關心他，真正愛他，讓他感受到溫暖。
我想，他就不會再是我們任何人熟悉的joker了。

 後期的joker，為何如此瘋狂殘暴，為何能面帶微笑的帶給這個世界這麼多苦難。
我想，在這部電影上，能相呼應的應該是，他發現所有的笑話都是建立在他人的痛苦上。
他的人生總是在痛苦著，而也總是被嘲笑著。
他發現要讓大家發笑，只要讓某個人或某些人痛苦就好。
這就是這瘋狂的人生。


I used to think that my life was a tragedy, but now I realize, it's a comedy.
我一直以為我的人生是一場悲劇，但現在我明白，原來是喜劇。

這是一齣喜劇，痛苦的喜劇。被嘲笑的瘋狂的人生。


 而我從頭到尾，在這部片裡聽到了滿滿的求救聲。￼￼

（未完但是我想睡覺ㄌ）","1571594118","/denkakeke.0404/photos/a.186745438065902/3299883246752090/?type=3&eid=ARCYO5kqbnQf1r3HjEQJZmhbfMpr-CLs8tNBeThFKoR42uwcVf9qvRTK6DypCLS7P46k0BvuCSCPE0_w&__xts__%5B0%5D=68.ARD4Oysbgzbtu3fpBtkzz2FwpbJ7DKEOGLDu0r2pKD3qUEamENq_QBsuQB7f1lBnN1VGsrPHLTVzkY9fonTAhOCPQoNhgSmZqvdRKBSzoPu31XmwtkpIdBhL9kVebel1hm4AhFKPTIEvquKL_a29LDr1fpEH81QmLrDGeFBurV8flUkmK41P-fK2nJHAMSh4bg-B3irNAVWe5Vme5fSrWDgoN2AEeGi2PCwcKG2ztfV573mXYAv1GAqcqUx1jVRDrF8OUGiyZ9HNcexWtTjLHmR0HVlGe1U51h5CVOnASl3WlpcK6MylYd_IdUAkqyMfCd53I6F3-pokNDmgprzCtCh0kQ&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72148518_3299883253418756_307637198763589632_n.jpg?_nc_cat=103&_nc_oc=AQkQsClybBBv6eyO1MtDyQegXEkTCMBDVYhnhRTwrcUKTN5TG7jw4gyH3_GeSkZbBCQ&_nc_ht=scontent-sin2-2.xx&oh=af63177ec51ea807bc53adbd13fa1ef0&oe=5E21DE41","undefined","",""
"https://www.facebook.com/denkakeke.0404/posts/3276847069055708:0","1570109138","❤️
這次和服體驗感謝 江戶和裝工房 雅 Kimono Miyabi
本來要選個輕便浴衣的，但我們家兩個人都說想看我穿這個畢業裝(◐‿◑)
只好完成一下員工的心願惹

 一定要推薦大家到這家體驗看看，他們家的編髮超強的，不管長髮短髮都做出非常漂亮的編髮造型！

 
和服的選擇也是十分多樣，我們體驗的店面是上野店，離淺草非常近以外，旁邊也有阿美橫町可以逛，照片裡的神社就在店面旁的巷子走3分鐘，也很好拍，如果是一大早就去的話，可以穿著和服走很多地方。

 
是說正式的和服跟cosplay的和服穿著比起來簡直是地獄等級的困難，我都不知道要上放了多少毛巾來補正身形；前面的時候我還叫他們緊一點，到後來我就⋯⋯⋯⋯緊得不能再緊了⋯⋯⋯⋯棒！

 下週三yt頻道會上完整的體驗影片，
喜歡的人記得要收看我的頻道更新喔！

 另外特別註明一下，這家店接受跨性別體驗喔，一般不是每家店都有的(⁎⁍̴̛ᴗ⁍̴̛⁎)
我們家其他孩子也有拍和服影片，之後會陸續更新，也希望大家支持收看囉！","1571594118","/denkakeke.0404/photos/a.186745438065902/3276847069055708/?type=3&eid=ARBXX6c20A43sOYNDIXOLfGzRWeCINz3yPVsgshiqqrbRqSRRFMbJyIL9RChKpO2t1lK_YwNU66m6Krb&__xts__%5B0%5D=68.ARA2u_US0lIFvyuBiZy0iLZSKtTPgjmbWIfn-byskw1uvzz5BOlKilX2VIFSOad4cQsP0agnuntvSXVZGZJvsAFKrRZVbk01BM7aXClwY4fhhfbOE9BlbJfWLuR4Y_idpPPpm3UkEAWjS5K1CzbOZ5ZyRviZibUZ5mYfq7J8aZL_SIBQCr1_gY5BqtJoYSi6YzSuV8yFn6EWOQ4RDPWnkbS0S5ANa0ACaMl7fzW2YDe4ULDx4P-wevnPWerxi-AZrFcvrUwFla8kAB0rmtmA0M8YDaPA1RQPqkOh1ukqNh1f8GiKoNMTUwigoY3Kbwypt3cLNF1d9C05kwmuGUMInECc7A&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72062300_3276847072389041_5342759743641354240_n.jpg?_nc_cat=100&_nc_oc=AQl_--YKEO_hAeEb6vDpwwyQ40jHxZSy3vYbR-DJmXfz1twzLX3LjUMK3mkKYIhlWDc&_nc_ht=scontent-sin2-2.xx&oh=3fb5bbb0d9a744e3e38c2bd673ec7c5d&oe=5E1D40BA","undefined","",""
"https://www.facebook.com/denkakeke.0404/posts/2906654356074983","1558762898","報告，報告，
因為我現在還太小，
還沒滿12歲不能玩鍊金術士，
所以實況的時間延後到晚上九點！！！！（？）

 晚上九點FB實況！！！

 就在這邊打開開箱典藏版！！！！","1571594118","/denkakeke.0404/photos/a.453049551435488/2906651039408648/?type=3&eid=ARAzLqC3MKtizZWccR4Oj2uRr95GkbPrv39SDwBeUDLrfSuuWIRjVYpxoGPgz8-d1YzKSimLTrY4MkPH&__xts__%5B0%5D=68.ARC-aP83LjPVqtBzSfepzB-FlmWyC-TZk4KFF0UZhHuLSq7-qf3S1d2z5bgi02nVP7gPDZ6G8H217LPJoiM7q-MhEe0zg-WrUS-9a6owlVE6ofJGpbOANp32KKK0BjoeyiohjBf86VVvlUZw9Zp6cA3XVbQEgf8c2QpKLPSyqmj6ibZZC51QvgA4PBPsIraDTWSGabrTCWO9nBE9xWG-JdhpB3kbcDv5PPMuDUvH2enM9-vgsHcqeqFNBUQDrZFy8Pw5tvBA8yo2LaYtU6ujCHfYZBaKAaaYroCMeAS8z_7VIEocd_zrfiJuRjrQ1ox4QjB7psalo6S09rom7GsO1ur4Ew&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/60958826_2906651046075314_1732052382243618816_n.jpg?_nc_cat=100&_nc_oc=AQlH1DojwAq8qvPuTeJtLookgFnI1Np3HJAuePnFdy3UaWvRJEcwXxdRpP6LdqgyLQoTpa8CEXHKtA2SM-Obu5Vu&_nc_ht=scontent-sin2-2.xx&oh=8bf9bc630b563ab858224ec7913ca9f8&oe=5E64F3EF","undefined","",""
"https://www.facebook.com/denkakeke.0404/posts/3106444539429296","1565025859","聽說這個禮拜三是七夕情人節，
不知道方不方便
那天
借我在你心裡衝撞一天呢

 看看我先頭破血流還是你的心臟先被撞出一個大洞❤️（一點都不浪漫）

 當你的deer❤️

 #deer #iamyourdeer #beyourdeer #deerlove","1571594118","/denkakeke.0404/photos/a.453049551435488/3106444499429300/?type=3&eid=ARB-sr6C6WP9xNVXWzAMf8SY47AbYxhuo6Tayn2rFh-Mrg9e1j0awESELeFQRPu9OQQlUggB2KOk8gl7&__xts__%5B0%5D=68.ARCrmJ8x9mGxhiQZ3WnzgaKc32FPt7og7abo-eJ-DN5OLohiRbJUDgUM4NSj_r2Pr2yY7JzNbvipGnwXkI_GATxAOAWMir-l1gJHPRTXvOC0If4JX6_Sq1LLg0nV6Bn2Z7H0bhtwRq6qa6-XPfEGAnZb1Yyt-IBC1Kmjy1DcO4eu9pag2R2B2tr26EhW-UVbXtjonL8P_ksHdloZ4nVmEqMv-s1vtzwL2dA4T9bogFJcyI9tUEi0s0pa_4zJxL8CMuCdth6L2OFWXUvQisvHAnff0h4vjYJaYvh8F_ijC01q_PPXnVF3haErhOQeIO_O79zYwmpxDIDeRX3siDKB5xZtNw&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/s640x640/67795709_3106444506095966_2255898187443208192_n.jpg?_nc_cat=111&_nc_oc=AQk8-iQvjfoQ82F4iED2r6XNhWuj8QUTtpPGSXalaa9v2z4JJi1FIw-RG7d70kODdx4&_nc_ht=scontent-sin2-1.xx&oh=007d3667f536e1799e9b9448695644f1&oe=5E20322A","undefined","",""
"https://www.facebook.com/denkakeke.0404/posts/2821330677940685","1555764217","前幾天挑戰都市傳說真是嚇死我惹
今天影片出來，誰下次半夜找我上山我就跟他過不去！
一起下載妖怪正傳！https://mstw.etolies.com/html/model/20190417/158.html

 #妖怪正傳
#好獨特水墨風格
#都市傳說愛信不信
#凌晨三點陽明山你敢嗎","1571594118","https://l.facebook.com/l.php?u=http%3A%2F%2Fshhhh.piee.pw%2FFSEL4&h=AT0MwTiR4MbIFaslJL06InyVxryBW9IAMQPslULNR3kP9RwjHPLfxlbn3-cg50xQ26GFxxQmXCq3AQ_7GdXG2xwxofadUE_Qq0JSmFAWxYWMESrhU5A_kHQbA9f0IMPVnmoZb_sgafVi4r8fParN0YPf1poc-Wu14A9amyE5S3HZIQeqK9_HLm-c0s2qVDjdS1ZEbiHxHh5pTpePwNXJnwM0ES5Z_hXgnOumbvNZU7Qy-PcnBVtTbWDdSf3pGP8e1LmLGwo7otYZs567i3fcDge2bBcYgRd3OK2v45TphuuBl0f8rZQl7DeB-n3pAP-V3tnQRm-Ov7Hwn8QFGqXvDgR_mp3AKKOJkO7abgcD5ejCctpPX7uqE_j2z1RjqRpQY0I9gRYF-9OAvYjUAwwufE6T5ju44zhGQzeCIfx7rNu7syvsvfPsPYDAG3jm9Z886xRcHVq7HW50Q6buk4pfB7hClJXsAZVMLjdvF72hEmy7qferH0GFJUJhuGa-6kzfilZWd4p-qmzXcKG2NdC8RVPXzHIIIYUDC-cF5_oYY1ezYn0qS7ZXO91U5x9nT2Bl4ya_6dJ6bdrLeBQ5D-kncooqp6c6eEG4qKgAUglFjZ8alrDcDRsIgXcKhmzJCCbr-jxPZAwwpAgrVT8q","https://external.fkno3-1.fna.fbcdn.net/safe_image.php?w=540&h=282&url=http%3A%2F%2Fcdn.pse.is%2Fstatic%2Fimages%2FC6960AE4-EDFA-45C4-A780-24D79E1388F1.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCiJxmGBTfpkmLu","【都市傳說】別在半夜玩恐怖遊戲！廁所門自己關閉！","【都市傳說】別在半夜玩恐怖遊戲！廁所門自己關閉！","誰再找我半夜上山！！！！"
"https://www.facebook.com/denkakeke.0404/posts/3092253824181701","1564579748","你們！抓姦囉！","1571594119","https://l.facebook.com/l.php?u=https%3A%2F%2Flihi1.cc%2F5l3hM&h=AT2d2tRAwEH8Hgd9Z17OeKd1vJ5Yf-bLVTaCPumGJbYS6F8Nfm9Pdjp1RvVFB_1DpQXGLEB60dnoDbD1j-SZRnOmxJSaVXqjI4eXUIbfUY56-8v1H1AU6LEtKyI5QlFztaT2vi8Qb65NYsJWoC8_B-UVIkWUE1RZCdPp1SC5Lh1PlRhnEuUap0tDmNZ6ykvFxHSJGroknyvv6G0QYUVQb8yAiz-BsTYxyGh6AjClAw20AA-cIY7JA4oB005jMy7gS6dP0prntooNJQWjScsILNJCwZhqbEpbl31TSTtSg_rM61ucbagUKHUKfjhpA6zJtDFLJo1THrhRE9juJSHwYs04yx1cMAeeTYM3Iv-s2JqZPaVbKbIFDbyA2cTpedX81xakKA4TWeddt2EBBOKpeLItdy6IKnT1G-fX_k0fD50X1z7IaBUUQsSFcEpJR4KGk7giptTPGejh8gQ3GyI5rAGcvf0jIM_NAGml3BHw80fiodbOL4pWrxoqxAPgm7oL_VRUtwK0eMeKgei-9Hmucl7q-Mx1k6JGdATbFS8_4L1L4oHy4dfJClyCGlFCdnS3Ar5HZarn1RSpt_XQ_zxWSLf8W-z713SCIV3Oy20JhFV3k_zriX9yKlRsd9iTJkp-xHRvUI0Vt6gLgZze","https://external-icn1-1.xx.fbcdn.net/safe_image.php?d=AQCu71_T-LBjuNQ1&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FezbmlZwCwuE%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB3y5xfkFygE31J","이미지: 사람 1명 이상, 텍스트","【周荀DenKa】尾行！ 三年起步 天生的徵信社調查員？！ ft. 立達徵信社 媽媽 那個變態在這裡","我其實很耐得住性子跟監別人的 只要有網路，或對象是幼稚園生.....我是不是說太多了 IG：https://www.instagram.com/denkakeke/ LINE@：@DENKAKEKE FB粉絲團：http://www.facebook.com/denkakeke.0404 TWITCH：http:..."
"https://www.facebook.com/denkakeke.0404/posts/2798694653537621","1554920643","其實我一直都懂男人為何如此的喜歡胸前的這兩坨肉。
就像我今天，穿上一段時間沒有穿的低胸上衣。
我舉頭寫報表，低頭就是這光景。

 說自己療癒自己好像有一點噁，但我懂好ㄇ，比男人更了解男人心的顛卡。

 #dカップ以上の大きなおっぱいを10分見つめると健康になれる
#跟風一下twitter","1571594119","/denkakeke.0404/photos/a.453049551435488/2798693146871105/?type=3&eid=ARAhXHG4kns9GMFopNZj4FWxOrKdXVOaCtTNSEhoep784Bj35yp8Bg_SvwV0yfjEfCJnfv7d9MeMYYIo&__xts__%5B0%5D=68.ARBp37Q_MInKOpdbf4X5xvewSu5PhPR3hlwkUfyHF48OH9zh5sk82sz8998yTpB77wqtc3Oj03b1TV4Cdx9-lvzHUlJ4rUpcWot3PEQNdvrvhCRsESeI5CffRvbMnwOWz5dtNT7LzD4UwjZN7-NLCo8KpFq3qH0UGzqOS49hPvMqt9FuOeM49lTAeaeKpchbgPCROrSkG5H62q_ZM-el1AXArZ4S0HTmEUvfeK2CM9da5oNz14ngelOwXr4dKdkH5rRmCh-aLbOpXkqm3VfDlbY0jCrIlBk8CmIuHUUK8RhqULQt7Q4G5BvdFqVpKrOFakMwLp5r5Xy_1rQKa2vZ7MqQGA&__tn__=EHH-R","https://scontent.fbkk22-2.fna.fbcdn.net/v/t1.0-0/p526x296/56732716_2798693150204438_9181938577544577024_n.jpg?_nc_cat=109&_nc_oc=AQk7pHOwCD-rrtjv_cl950P_9DGLbEFLnHpKZaXWpvv-zwG7NKH2hhGl2nHqFByA-aY&_nc_ht=scontent.fbkk22-2.fna&oh=cd40654d54deee14342896b8d2ae37b3&oe=5E627E5A","undefined","",""
"https://www.facebook.com/denkakeke.0404/posts/3258010854272663","1569672001","超紅手遊 AOD龍之怒吼 
雙平台開始預約啦！現在參加事前預約就送永久坐騎
https://e.movergames.com/P4tyh

韓系頂級SVS大型紛爭MMO，
韓媒最期待3A級MMORPG 龍之怒吼
還能跟親朋好友一起團~狩~魔~物！超級爽！

跟我一樣愛出征的
快來享受震撼的萬人激戰帶來最酣暢的體驗

下載鏈接：https://e.movergames.com/6r94v
#AOD #龍之怒吼
#預約送限定坐騎","1571594119","/watch/?ref=external&v=348870759170281&__xts__%5B0%5D=68.ARBUHVkGwaz1DVD24yUXLGeeZZK00ZNDDTqXW_-gHz4qADVdtFKQrxyxuikwRFUIsOojAsRFQsQC_XE9m8QaMXfC52YZaCeozBgl3GaTy8b-LSENuTxnlwwDDRB8dg5zRtZgznYpcJDGfK20SHVUyxdTYor-DAbJz9PZ-rlRiHtzaG50qycAL0abLM8iWBZcxS05BWnEcTG9tRC55451gKLRX8vCxdxaYL-GDHOAy-rxWitYRh8AcWxUgmbIw1o--5iRDKrY7rPYHfbZ0nv5r-1aXgKwFWYwx4OpmHVXdboYXyuUu6FpZrhFqaAiqt8IaEEjoZ2BJnC0bHqCzb-JS7NEGCX386nNutI&__tn__=kFFHHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t15.5256-10/69371070_348872059170151_5664083246535671808_n.jpg?_nc_cat=107&_nc_oc=AQkxti4QDPPEcDfwT2bgydQ5EMi4u-sRW4CVQhXW5uCxMQjk7H477tqDukcWlnkEpDs&_nc_ht=scontent-sin6-2.xx&oh=d623bc761a7c4c2b8104a9a198255e7b&oe=5E1F9472","undefined","2019讓DenKa又怒又爽爽的遊戲","Posted by 周荀/DenKa"
